20367,RAYDRIC_H,Contaminated Raydric,Contaminated Raydric,185,2372683,1,169476,118633,1,3800,0,494,101,215,119,92,53,177,40,10,10,1,7,67,12437,150,824,780,0,0,0,0,0,0,0,0,25730,500,985,160,2266,1,2315,2,15037,5,1004,10,7054,4850,0,0,0,0,27354,1
20368,RAYDRIC_ARCHER_H,Contaminated Raydric Archer,Contaminated Raydric Archer,184,2355718,0,168265,117785,9,4000,0,412,101,125,42,95,35,317,60,10,10,1,7,67,33562757,200,1152,1152,0,0,0,0,0,0,0,0,25730,500,1764,2000,985,106,1715,3,2315,2,7054,4656,15013,5,0,0,0,0,27355,1
20369,GARGOYLE_H,Frozen Gargoyle,Frozen Gargoyle,186,2377139,1,163731,118856,9,3700,0,333,105,194,92,117,111,233,118,10,10,1,6,64,33562757,200,1020,720,0,0,0,0,0,0,0,0,25730,500,1039,500,757,238,912,3880,1746,3,1769,2000,2619,1,0,0,0,0,27356,1
20370,STING_H,Contaminated Sting,Contaminated Sting,180,2297907,1,196962,138873,1,1600,0,276,100,194,70,122,61,214,38,10,10,1,0,62,12949,300,528,500,0,0,0,0,0,0,0,0,25730,500,997,25,6213,800,1003,130,1756,2000,2624,1,7004,4850,10007,10,0,0,27357,1
20371,RAGGED_ZOMBIE_H,Prison Breaker,Prison Breaker,186,2375279,1,203594,142516,5,3800,0,297,105,127,65,100,87,278,32,10,10,1,1,49,46229,150,1960,576,0,0,0,0,0,0,0,0,25730,500,932,4500,2887,50,2424,15,2703,2,6223,1,7752,3000,13107,10,0,0,27358,1
20379,ICE_GHOST_H,Ice Ghost,Ice Ghost,189,2418315,1,207283,145098,2,3400,0,390,115,155,49,62,137,255,42,10,10,1,6,61,33567893,150,1056,1056,0,0,0,0,0,0,0,0,25730,500,689,100,912,4559,932,6000,995,100,7005,500,0,0,0,0,0,0,27359,1
20380,FLAME_GHOST_H,Flame Ghost,Flame Ghost,189,2410282,1,206594,144616,2,3400,0,237,118,155,49,62,137,255,42,10,10,1,6,63,33567893,150,1056,1056,0,0,0,0,0,0,0,0,25730,500,691,100,912,4559,932,6000,994,100,7005,500,0,0,0,0,0,0,27360,1
20420,WANDER_MAN_H,Contaminated Wanderer,Contaminated Wanderer,187,2387582,1,197070,138948,1,4896,0,289,102,190,123,58,24,273,48,10,10,1,6,44,33568901,100,672,500,0,0,0,0,0,0,0,0,25730,500,2270,5,616,1,984,217,1164,1,7005,4850,13015,5,0,0,0,0,27361,1
20421,BRINARANEA_H,Contaminated Spider Queen,Contaminated Spider Queen,195,74530159,1,7102629,5073306,1,15048,0,285,112,214,255,194,255,167,45,10,10,2,6,67,34143389,190,1150,576,0,5073306,23817,2500,0,0,0,0,25731,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27362,1
20422,DARK_LORD_H,Contaminated Dark Lord,Contaminated Dark Lord,194,74289189,1,8370000,5356800,2,13854,0,503,134,140,190,221,255,255,197,10,10,2,1,69,34143391,100,868,768,0,535680,23817,2500,0,0,0,0,25731,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27363,1
