1038,OSIRIS,Osiris,Osiris,68,1175840,1,122760,100440,1,1980,1503,172,164,97,99,86,131,165,67,10,12,1,1,89,0x6283695,100,1072,672,384,61380,23817,2500,608,3000,751,500,617,1000,1232,75,2235,200,1255,300,1009,500,5053,75,1285,50,0,0,0,0,4144,1
1039,BAPHOMET,Baphomet,Baphomet,81,668000,1,218089,167053,2,3150,1984,379,45,120,125,30,85,186,85,10,12,2,6,67,0x6283695,100,768,768,576,109044,23817,2500,750,500,923,5000,1466,200,2256,150,1476,25,714,250,5160,5,985,2716,984,2086,0,0,0,0,4147,1
1046,DOPPELGANGER,Doppelganger,Doppelganger,77,380000,1,172260,125280,1,2103,1176,246,86,122,122,105,67,169,72,10,12,1,6,67,0x6283695,100,480,480,288,86130,23817,2500,505,6000,0,0,2317,125,1162,110,1168,75,2258,175,1411,275,985,1843,984,1350,0,0,0,0,4142,1
1059,MISTRESS,Mistress,Mistress,78,378000,1,184140,150660,1,985,1967,287,192,76,186,88,113,172,79,10,12,0,4,84,0x6283695,100,1148,648,300,92070,996,1500,23817,2500,722,3000,1413,75,518,5000,2249,125,616,500,7018,5,985,2134,16001,50,0,0,0,0,4132,1
1086,GOLDEN_BUG,Golden Thief Bug,Golden Thief Bug,65,222750,1,102060,77760,1,952,843,159,81,71,77,80,62,127,76,10,12,2,4,43,0x628108B,100,768,768,480,51030,2610,2000,701,1000,23817,2500,969,500,1524,75,2246,125,10016,250,714,150,985,1000,984,750,0,0,0,0,4128,1
1087,ORK_HERO,Orc Hero,Orc Hero,50,362000,1,53460,48600,1,662,441,197,70,97,82,107,71,144,43,10,12,2,7,42,0x6283695,150,1678,780,648,26730,725,2000,23817,2500,999,5000,968,4850,10018,250,1366,75,2106,125,1124,500,985,2280,1387,50,25508,2500,0,0,4143,1
1112,DRAKE,Drake,Drake,91,804500,1,309.096,208980,1,2519,1403,279,135,121,103,114,107,135,71,10,12,1,1,29,0x6283695,400,620,420,360,154548,23817,2500,719,500,0,0,1127,300,1125,475,1135,75,1128,200,5019,175,985,1600,1189,50,0,0,0,0,4137,1
1115,EDDGA,Eddga,Eddga,65,947500,1,103950,74250,1,1509,776,166,70,92,80,103,66,90,85,10,12,2,2,23,0x6283695,300,872,1344,432,51975,1029,5000,1030,1000,23817,2500,1133,75,2268,125,518,5000,1258,2500,1030,400,985,1200,13046,100,0,0,0,0,4123,1
1147,MAYA,Maya,Maya,55,380000,1,89280,66960,1,555,265,183,50,88,72,76,102,92,76,10,12,2,4,82,0x6283695,100,864,1000,480,44640,23817,2500,603,3000,617,2000,10006,250,2615,100,2234,100,639,250,7020,5,985,1750,2005,50,0,0,0,0,4146,1
1150,MOONLIGHT,Moonlight Flower,Moonlight Flower,79,324000,1,183744,135720,1,2232,1251,254,81,86,102,93,82,157,120,10,12,1,6,63,0x6283695,150,1276,576,288,91872,1022,5000,23817,2500,728,500,1477,250,1234,50,1525,75,10008,250,638,325,985,1300,1648,50,0,0,0,0,4131,1
1157,PHARAOH,Pharaoh,Pharaoh,85,900000,1,229680,167040,1,1624,1782,124,269,98,102,96,142,173,102,10,12,2,7,67,0x6283695,125,868,768,288,114840,23817,2500,526,5000,732,5000,7113,2910,7114,1250,1136,50,2327,75,5002,250,1552,150,1231,40,0,0,0,0,4148,1
1159,PHREEONI,Phreeoni,Phreeoni,71,300000,1,63800,90000,1,693,967,269,98,88,70,112,87,122,71,10,12,2,2,60,0x6283695,200,1020,1020,288,31900,1008,500,23817,2500,1000,4000,1015,4850,1223,250,1236,75,1014,2500,2288,150,985,1450,13047,50,0,0,0,0,4121,1
1190,ORC_LORD,Orc Lord,Orc Lord,55,552000,1,78120,61380,1,780,648,256,92,95,95,103,96,155,85,10,12,2,7,82,0x6283695,100,1248,500,360,39060,968,5500,617,2000,23817,2500,1363,200,2621,200,5007,400,1371,200,617,500,985,2134,16000,1550,25508,2500,0,0,4135,1
