//===== rAthena Script =======================================
//= Dungeon Quest System
//===== Author ===============================================
//= llchrisll
//===== Credits ==============================================
//= rAthena Dev Team for the Warper NPC, used the Map Cooardinates
//===== Current Version ======================================
//= 1.0
//===== Changelog ============================================
//= 1.0 - Initial Release
//===== Compatible With ======================================
//= rAthena SQL 09/26-2015 Revision and later
//===== Tested With ==========================================
//= rAthena SQL 09/26-2015 Revision
//===== Description ==========================================
//= Additional EXP Bonus (in Percent) based on Dungeon's Difficulty
//  - Difficulties: Easy, Medium, Hard
//  - EXP Rates: 50%, 100%, 150% (changeable)
//= Dungeon Warp Service
//  - Warp to the Entrance only
//= Party Settings dynamically changeable
//  - Quantity of Parties in each Dungeon
//= Party Join Feature
//  - Requesting to join an existing Party, on accept the Leader can decide
//    to which member the applicant will be warped to
//= Dungeon Rewards:
//  - Regular Dungeon Points (On/Off Function)
//    Base Points*Difficulty of Dungeon
//  - MvP Dungeon Points (On/Off Function)
//    Per slain MvP, you gain "x" Points (changeable)
//    Custom Character Permanent Variable for Exchanger 
//  - Dungeon Points Exchanger
//= Quests per Dungeons
//  - Each Dungeon can have an infinite amount of quests
//===== Comments =============================================
//= ...
//===== ToDO =============================================
//= Spliting Glastheim Dungeon into 6 seperate Entries:
//  Glastheim - Castle, Glastheim - Church, Glastheim - Culvert, Glastheim - Prison, Glastheim - Cave, Glastheim - Chivalry
//= Adding the possibility to use a different level requirement for each "floor"
//============================================================
/*
CREATE TABLE IF NOT EXISTS `dqs_list` (
 `dg_id` int(10) unsigned NOT NULL,
 `quest_id` int(10) unsigned default '2',
 `quest_type` tinyint(3) unsigned default '1',
 `mob_id` int(10) unsigned default '0',
 `mob_am` int(12) unsigned default '0',
 `item_id` int(10) unsigned default '0',
 `item_am` int(10) unsigned default '0',
 `reward_id` int(10) unsigned default '0',
 `reward_am` int(10) unsigned default '0',
 `status` tinyint(3) unsigned default '2',
 ) ENGINE=MyISAM;
 
 CREATE TABLE IF NOT EXISTS `dqs_party` (
 `dg_id` int(10) unsigned,
 `pty_id` int(10) unsigned default '0',
 `char_id` int(10) unsigned default '0',
 `start` int(10) unsigned default '1',
 `quest_id` int(10) unsigned NOT NULL,
 `mob_id` int(10) unsigned default '0',
 `mob_am` int(12) unsigned default '0',
 `req_am` int(12) unsigned default '0',
 `complete` tinyint(3) unsigned default '0'
 ) ENGINE=MyISAM;
 
CREATE TABLE IF NOT EXISTS `dqs_dungeon` (
 `dg_id` int(10) unsigned NOT NULL,
 `name` varchar(255) default 'Unknown Dungeon',
 `difficulty` int(10) unsigned NOT NULL default '1',
 `req_level` int(10) unsigned NOT NULL default '1',
 `pty_limit` int(5) unsigned default '0',
 `floor` tinyint(3) unsigned NOT NULL default '1',
 `map_name` varchar(255) default 'prontera',
 `map_x` int(10) unsigned default '0',
 `map_y` int(10) unsigned default '0',
 `repeat` int(5) unsigned default '0',
 `status` tinyint(3) unsigned default '2',
 `renewal` tinyint(3) unsigned default '0'
) ENGINE=MyISAM;

CREATE TABLE IF NOT EXISTS `dqs_app` (
 `pty_id` int(10) unsigned default '0',
 `app_id` int(10) unsigned default '0',
 `name` varchar(255) default 'Unknown Player',
 `level` varchar(255) default '1/1',
 `class` int(10) unsigned default '0'
) ENGINE=MyISAM;

CREATE TABLE IF NOT EXISTS `dqs_pending` (
 `char_id` int(10) unsigned NOT NULL,
 `item_id` int(10) unsigned default '501',
 `item_am` int(10) unsigned default '0'
) ENGINE=MyISAM;

 // === Dungeon Data ===
INSERT INTO `dqs_dungeon` ( `dg_id` , `name` , `difficulty` , `req_level` , `pty_limit` , `floor` , `map_name` , `map_x` , `map_y` , `repeat` , `status` , `renewal` ) VALUES ( '1' , 'Abyss Lakes' , '3' , '70' , '3' , '1' , 'abyss_01' , '261' , '272' , '3' , '2' , '1');
INSERT INTO `dqs_dungeon` ( `dg_id` , `name` , `difficulty` , `req_level` , `pty_limit` , `floor` , `map_name` , `map_x` , `map_y` , `repeat` , `status` , `renewal` ) VALUES ( '1' , 'Abyss Lakes' , '3' , '70' , '3' , '2' , 'abyss_02' , '275' , '270' , '3' , '2' , '1');
INSERT INTO `dqs_dungeon` ( `dg_id` , `name` , `difficulty` , `req_level` , `pty_limit` , `floor` , `map_name` , `map_x` , `map_y` , `repeat` , `status` , `renewal` ) VALUES ( '1' , 'Abyss Lakes' , '3' , '70' , '3' , '3' , 'abyss_03' , '116' , '27' , '3' , '2' , '1');
INSERT INTO `dqs_dungeon` ( `dg_id` , `name` , `difficulty` , `req_level` , `pty_limit` , `floor` , `map_name` , `map_x` , `map_y` , `repeat` , `status` , `renewal` ) VALUES ( '2' , 'Amatsu Dungeon' , '2' , '50' , '3' , '1' , 'ama_dun01' , '228' , '11' , '3' , '2' , '1');
INSERT INTO `dqs_dungeon` ( `dg_id` , `name` , `difficulty` , `req_level` , `pty_limit` , `floor` , `map_name` , `map_x` , `map_y` , `repeat` , `status` , `renewal` ) VALUES ( '2' , 'Amatsu Dungeon' , '2' , '50' , '3' , '2' , 'ama_dun02' , '34' , '41' , '3' , '2' , '1');
INSERT INTO `dqs_dungeon` ( `dg_id` , `name` , `difficulty` , `req_level` , `pty_limit` , `floor` , `map_name` , `map_x` , `map_y` , `repeat` , `status` , `renewal` ) VALUES ( '2' , 'Amatsu Dungeon' , '2' , '50' , '3' , '3' , 'ama_dun03' , '119' , '14' , '3' , '2' , '1');
INSERT INTO `dqs_dungeon` ( `dg_id` , `name` , `difficulty` , `req_level` , `pty_limit` , `floor` , `map_name` , `map_x` , `map_y` , `repeat` , `status` , `renewal` ) VALUES ( '3' , 'Anthell' , '1' , '70' , '3' , '1' , 'anthell01' , '35' , '262' , '3' , '2' , '1' );
INSERT INTO `dqs_dungeon` ( `dg_id` , `name` , `difficulty` , `req_level` , `pty_limit` , `floor` , `map_name` , `map_x` , `map_y` , `repeat` , `status` , `renewal` ) VALUES ( '3' , 'Anthell' , '1' , '70' , '3' , '2' , 'anthell02' , '168' , '170' , '3' , '2' , '1' );
INSERT INTO `dqs_dungeon` ( `dg_id` , `name` , `difficulty` , `req_level` , `pty_limit` , `floor` , `map_name` , `map_x` , `map_y` , `repeat` , `status` , `renewal` ) VALUES ( '4' , 'Ayothaya Dungeon' , '3' , '60' , '3' , '1' , 'ayo_dun01' , '275' , '19' , '3' , '2' , '1' );
INSERT INTO `dqs_dungeon` ( `dg_id` , `name` , `difficulty` , `req_level` , `pty_limit` , `floor` , `map_name` , `map_x` , `map_y` , `repeat` , `status` , `renewal` ) VALUES ( '4' , 'Ayothaya Dungeon' , '3' , '60' , '3' , '2' , 'ayo_dun02' , '24' , '26' , '3' , '2' , '1' );
INSERT INTO `dqs_dungeon` ( `dg_id` , `name` , `difficulty` , `req_level` , `pty_limit` , `floor` , `map_name` , `map_x` , `map_y` , `repeat` , `status` , `renewal` ) VALUES ( '5' , 'Beach Dungeon' , '2' , '65' , '3' , '1' , 'beach_dun' , '266' , '67' , '3' , '2' , '1' );
INSERT INTO `dqs_dungeon` ( `dg_id` , `name` , `difficulty` , `req_level` , `pty_limit` , `floor` , `map_name` , `map_x` , `map_y` , `repeat` , `status` , `renewal` ) VALUES ( '5' , 'Beach Dungeon' , '2' , '65' , '3' , '2' , 'beach_dun2' , '255' , '244' , '3' , '2' , '1' );
INSERT INTO `dqs_dungeon` ( `dg_id` , `name` , `difficulty` , `req_level` , `pty_limit` , `floor` , `map_name` , `map_x` , `map_y` , `repeat` , `status` , `renewal` ) VALUES ( '5' , 'Beach Dungeon' , '2' , '65' , '3' , '3' , 'beach_dun3' , '23' , '260' , '3' , '2' , '1' );
INSERT INTO `dqs_dungeon` ( `dg_id` , `name` , `difficulty` , `req_level` , `pty_limit` , `floor` , `map_name` , `map_x` , `map_y` , `repeat` , `status` , `renewal` ) VALUES ( '6' , 'Bio Labratory' , '3' , '70' , '3' , '1' , 'lhz_dun01' , '150' , '288' , '3' , '2' , '1' );
INSERT INTO `dqs_dungeon` ( `dg_id` , `name` , `difficulty` , `req_level` , `pty_limit` , `floor` , `map_name` , `map_x` , `map_y` , `repeat` , `status` , `renewal` ) VALUES ( '6' , 'Bio Labratory' , '3' , '70' , '3' , '2' , 'lhz_dun02' , '150' , '18' , '3' , '2' , '1' );
