3473,AS_RAGGED_GOLEM,Stephen Jack Ernest Wolf,Stefan.J.E.Wolf,160,20000000,1,96453,121156,1,8127,640,146,30,248,57,16,59,245,43,10,12,2,1,29,0x6203885,500,1500,500,1000,0,0,0,0,0,0,0,984,3500,985,3500,28010,1,21018,1,2027,1,607,1000,608,2000,0,0,0,0,31026,1
3474,AS_BLOODY_KNIGHT,Immortal Cursed Knight,Immortal Cursed Knight,160,10000000,1,47986,51573,2,4665,432,178,48,193,103,102,83,240,65,10,12,2,0,47,0x6203885,500,1500,500,1000,0,0,0,0,0,0,0,985,3245,21018,1,616,500,607,1004,608,2005,984,3245,0,0,0,0,0,0,31024,1
3475,AS_WIND_GHOST,Immortal Wind Ghost,Immortal Wind Ghost,160,10000000,1,47986,51573,5,4665,575,136,72,131,68,53,116,259,42,10,12,1,6,44,0x6203885,500,1500,500,1000,0,0,0,0,0,0,0,984,3245,985,3245,2027,1,616,500,607,1004,608,2005,0,0,0,0,0,0,31025,1
3476,AS_ZOMBIE,Immortal Zombie Soldier,Immortal Zombie Soldier,160,405694,1,0,0,1,2445,668,188,28,141,90,160,0,169,0,10,12,1,1,29,0x6203885,500,1500,500,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3477,AS_IMMORTAL_CORPS,Immortal Fortress Legion,Immortal Fortress Legio,160,405694,1,15464,14320,1,2445,545,150,83,165,90,95,75,180,50,10,12,1,1,29,0x6203885,500,1500,500,1000,0,0,0,0,0,0,0,28706,20,13455,20,21016,20,1400,20,1450,20,0,0,0,0,0,0,0,0,0,0
3478,AS_ZOMBIE_SLAUGHTER,Immortal Fortress Legion,Sky Fortress Key Keeper,160,423332,1,15464,14320,1,2445,291,129,58,150,88,105,16,210,27,10,12,1,1,49,0x6203885,500,1500,500,1000,0,0,0,0,0,0,0,6960,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3479,AS_ZOMBIE_MASTER,Immortal Zombie Assaulter,Immortal Zombie Assault,160,405694,1,15464,14320,1,2445,430,104,61,73,96,64,65,138,64,10,12,1,1,49,0x6203885,500,1500,500,1000,0,0,0,0,0,0,0,28605,20,1800,20,28008,20,13328,20,28107,20,16041,20,0,0,0,0,0,0,0,0
3480,AS_CURSED_SOLDIER,Immortal Cursed Zombie,Immortal Cursed Zombie,160,405694,1,15464,14320,9,2445,0,123,50,117,86,83,81,309,33,10,12,1,1,29,0x6203885,500,1500,500,1000,0,0,0,0,0,0,0,18121,20,13128,20,2026,20,1600,20,1996,20,1900,20,0,0,0,0,0,0,0,0
3481,AS_EVIL_SHADOW1,Immortal Nightmare Shadow,Immortal Nightmare Shad,160,423330,1,14059,15100,1,2445,497,34,34,102,61,102,24,132,51,10,12,2,6,27,0x6203885,500,1500,500,1000,0,0,0,0,0,0,0,28605,30,28008,30,28107,30,13328,30,16041,30,1800,30,0,0,0,0,0,0,0,0
3482,AS_EVIL_SHADOW2,Immortal Angry Shadow,Immortal Angry Shadow,160,388054,1,14059,15100,1,2201,1032,137,40,68,139,51,39,234,17,10,12,1,6,27,0x6203885,500,1500,500,1000,0,0,0,0,0,0,0,2026,30,1600,30,13128,30,1996,30,1900,30,18121,30,0,0,0,0,0,0,0,0
3483,AS_EVIL_SHADOW3,Immortal Death Shadow,Immortal Death Shadow,160,423330,1,14059,15100,1,2445,105,100,49,135,117,74,37,142,30,10,12,2,6,27,0x6203885,500,1500,500,1000,0,0,0,0,0,0,0,28706,30,13455,30,21016,30,1400,30,1450,30,0,0,0,0,0,0,0,0,0,0
3484,AS_D_RAGGED_GOLEM,Stefan.J.E.Wolf,Stefan.J.E.Wolf,160,20000000,1,0,0,1,8127,640,146,30,248,57,16,59,245,43,10,12,2,1,49,0x6203885,500,1500,500,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
